ID;Active(0/1);Name;Categories (x,y,z_);Disponible para pedidos (0 = No, 1 = Si);Mostrar Precio (0 = No, 1 = Si);Description;Image URLs (x,y,z...);Gestor avanzado de inventario;Cuando no haya existencias;Referencia nº
APN-015 ;1;Tapa Para Pistón 3854 ;9;1;0;Tapa Para Pistón 3854 ;http://a72aa5f0.ngrok.io/images/apn/APN-015.jpg,http://a72aa5f0.ngrok.io/images/apn/APN-015B.jpg;1;1;APN-015 
APN-016 ;1;Carretilla Para Puerta 1301 ;9;1;0;Carretilla Para Puerta 1301 ;http://a72aa5f0.ngrok.io/images/apn/APN-016.jpg;1;1;APN-016 
APN-018 ;1;Horquilla Para Pistón Corta ;9;1;0;Horquilla Para Pistón Corta ;http://a72aa5f0.ngrok.io/images/apn/APN-018.jpg;1;1;APN-018 
APN-019 ;1;Horquilla Para Pistón Larga ;9;1;0;Horquilla Para Pistón Larga ;http://a72aa5f0.ngrok.io/images/apn/APN-019.jpg;1;1;APN-019 
APN-020 ;1;Horquilla Para Pistón Micro ;9;1;0;Horquilla Para Pistón Micro ;http://a72aa5f0.ngrok.io/images/apn/APN-020.jpg;1;1;APN-020 
APN-021 ;1;Horqulla Con Rosca Para Pistón ;9;1;0;Horqulla Con Rosca Para Pistón ;http://a72aa5f0.ngrok.io/images/apn/APN-021.jpg;1;1;APN-021 
APN-023 ;1;Rótula Para Puerta Andare 18 ;9;1;0;Rótula Para Puerta Andare 18 ;http://a72aa5f0.ngrok.io/images/apn/APN-023.jpg;1;1;APN-023 
APN-024 ;1;Horquilla Con Rosca Exterior Y Hule ;9;1;0;Horquilla Con Rosca Exterior Y Hule ;http://a72aa5f0.ngrok.io/images/apn/APN-024.jpg;1;1;APN-024 
APN-025 ;1;Horquilla Con Rosca Interior Y Hule ;9;1;0;Horquilla Con Rosca Interior Y Hule ;http://a72aa5f0.ngrok.io/images/apn/APN-025.jpg;1;1;APN-025 
APN-026 ;1;Repuesto Para Pistón 3210 ;9;1;0;Repuesto Para Pistón 3210 ;http://a72aa5f0.ngrok.io/images/apn/APN-026.jpg;1;1;APN-026 
APN-027 ;1;Repuesto Para Pistón 3201 ;9;1;0;Repuesto Para Pistón 3201 ;http://a72aa5f0.ngrok.io/images/apn/APN-027.jpg;1;1;APN-027 
APN-028 ;1;Repuesto Para Pistón 3201-E ;9;1;0;Repuesto Para Pistón 3201-E ;http://a72aa5f0.ngrok.io/images/apn/APN-028.jpg;1;1;APN-028 
APN-029 ;1;Repuesto Para Pistón 3200 ;9;1;0;Repuesto Para Pistón 3200 ;http://a72aa5f0.ngrok.io/images/apn/APN-029.jpg;1;1;APN-029 
APN-030 ;1;Repuesto Para Pistón FNA ;9;1;0;Repuesto Para Pistón FNA ;http://a72aa5f0.ngrok.io/images/apn/APN-030.jpg;1;1;APN-030 
APN-031 ;1;Repuesto Para Pistón Bmproar ;9;1;0;Repuesto Para Pistón Bmproar ;http://a72aa5f0.ngrok.io/images/apn/APN-031.jpg;1;1;APN-031 
