ID;Active(0/1);Name;Categories (x,y,z_);Disponible para pedidos (0 = No, 1 = Si);Mostrar Precio (0 = No, 1 = Si);Description;Image URLs (x,y,z...);Gestor avanzado de inventario;Cuando no haya existencias;Referencia nº;Etiquetas (x,y,z...)
LIN-042 ;1;Tachonado Amarillo Trá co ;16;1;0;<div><p>Tachonado Amarillo Trá co</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/linoleos/LIN-042.jpg;1;1;LIN-042 ;Linóleos
LIN-043 ;1;Estelaris In niti Amarillo Trá co ;16;1;0;<div><p>Estelaris In niti Amarillo Trá co</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/linoleos/LIN-043.jpg;1;1;LIN-043 ;Linóleos
LIN-044 ;1;Duela Miel 100 ;16;1;0;<div><p>Duela Miel 100</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/linoleos/LIN-044.jpg;1;1;LIN-044 ;Linóleos
LIN-045 ;1;Duela Beige Con Café 101 ;16;1;0;<div><p>Duela Beige Con Café 101</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/linoleos/LIN-045.jpg;1;1;LIN-045 ;Linóleos
LIN-046 ;1;Duela Beige Con Cereza 102 ;16;1;0;<div><p>Duela Beige Con Cereza 102</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/linoleos/LIN-046.jpg;1;1;LIN-046 ;Linóleos
LIN-047 ;1;Duela Beige Con Café Obscuro 103 ;16;1;0;<div><p>Duela Beige Con Café Obscuro 103</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/linoleos/LIN-047.jpg;1;1;LIN-047 ;Linóleos
LIN-048 ;1;Duela Chocolate 104 ;16;1;0;<div><p>Duela Chocolate 104</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/linoleos/LIN-048.jpg;1;1;LIN-048 ;Linóleos
MIS-01 ;1;Matraca ;17;1;0;<div><p>Matraca</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-01.jpg;1;1;MIS-01 ;Matraca 
MIS-02 ;1;Buje De Plástico Para Giro De Puerta ;17;1;0;<div><p>Buje De Plástico Para Giro De Puerta</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-02.jpg;1;1;MIS-02 ;Buje
MIS-03 ;1;Buje Con Resorte Para Cofre Ayco ;17;1;0;<div><p>Buje Con Resorte Para Cofre Ayco</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-03.jpg;1;1;MIS-03 ;Buje
MIS-04 ;1;Trompo Guía Largo Para Cofre ;17;1;0;<div><p>Trompo Guía Largo Para Cofre</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-04.jpg;1;1;MIS-04 ;Trompo Guía
MIS-05 ;1;Trompo Guía Corto Para Cofre ;17;1;0;<div><p>Trompo Guía Corto Para Cofre</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-05.jpg;1;1;MIS-05 ;Trompo Guía
MIS-06 ;1;Caja De Seguridad ;17;1;0;<div><p>Caja De Seguridad</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-06.jpg;1;1;MIS-06 ;Caja De Seguridad 
MIS-07 ;1;Soporte Superior De Puerta Ayco ;17;1;0;<div><p>Soporte Superior De Puerta Ayco</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-07.jpg;1;1;MIS-07 ;Soporte
MIS-08 ;1;Soporte Giro De Puerta Corto ;17;1;0;<div><p>Soporte Giro De Puerta Corto</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-08.jpg;1;1;MIS-08 ;Soporte
MIS-09 ;1;Abrazadera Para Giro De Puerta ;17;1;0;<div><p>Abrazadera Para Giro De Puerta</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-09.jpg;1;1;MIS-09 ;Abrazadera de Puerta 
MIS-10 ;1;Soporte Con Trompo Plástico ;17;1;0;<div><p>Soporte Con Trompo Plástico</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-10.jpg;1;1;MIS-10 ;Soporte
MIS-11 ;1;Bisagra De Cofre Urbiabus ;17;1;0;<div><p>Bisagra De Cofre Urbiabus</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-11.jpg;1;1;MIS-11 ;Bisagra
MIS-13 ;1;Bisagra De Cofre Urbus ;17;1;0;<div><p>Bisagra De Cofre Urbus</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-13.jpg;1;1;MIS-13 ;Bisagra
MIS-14 ;1;Soporte Inferior Beccar 2013 C/ Balero ;17;1;0;<div><p>Soporte Inferior Beccar 2013 C/ Balero</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-14.jpg;1;1;MIS-14 ;Soporte
MIS-15 ;1;Soporte Superior Beccar 2013 C/ Barra;17;1;0;<div><p>Soporte Superior Beccar 2013 C/ Barr</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-15.jpg;1;1;MIS-15 ;Soporte
MIS-20 ;1;Torpedo Reversero Cromado ;17;1;0;<div><p>Torpedo Reversero Cromado</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-20.jpg;1;1;MIS-20 ;Torpedo Reversero
MIS-21 ;1;Arillo Para Unidad 4416 ;17;1;0;<div><p>Arillo Para Unidad 4416</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-21.jpg;1;1;MIS-21 ;Arillo
MIS-23 ;1;Manita Pasamanos Original ;17;1;0;<div><p>Manita Pasamanos Original</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-23.jpg;1;1;MIS-23 ;Manita
MIS-25 ;1;Manita Para Mampara Negra ;17;1;0;<div><p>Manita Para Mampara Negra</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-25.jpg;1;1;MIS-25 ;Manita 
MIS-26 ;1;Salida De Aire Grande Baja ;17;1;0;<div><p>Salida De Aire Grande Baja</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-26.jpg;1;1;MIS-26 ;Salida De Aire
MIS-27 ;1;Salida De Aire Grande Alta ;17;1;0;<div><p>Salida De Aire Grande Alta</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-27.jpg;1;1;MIS-27 ;Salida De Aire
MIS-31 ;1;Soporte Tipo Pipa ;17;1;0;<div><p>Soporte Tipo Pipa</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-31.jpg;1;1;MIS-31 ;Soporte
MIS-32 ;1;Manita Para Mampara De Plastico ;17;1;0;<div><p>Manita Para Mampara De Plastico</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-32.jpg;1;1;MIS-32 ;Manita
